movie_id,title,release_year,director,imdb_rating,imdb_rank,metacritic_rating,metacritic_rank,rotten_tomato_rating,rotten_tomato_rank,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,production_company_id,production_company,company_founding_year,headquarters_country,headquarters_city,imdb_url,metacritic_url,rotten_tomato_url,wikipedia_url
417657983,The Shawshank Redemption,1994,Frank Darabont,9.3,1,82,NA,89,NA,Tim Robbins,Andy Dufresne,Morgan Freeman,Ellis Boyd 'Red' Redding,Bob Gunton,Warden Norton,Willam Sadler,Heywood,Clancy Brown,Captain Hadley,615574204,Castle Rock Entertainment,1987,United States,Beverly Hills CA,https://www.imdb.com/title/tt0111161/?ref_=nv_sr_srsg_0_tt_7_nm_1_in_0_q_shawshan,https://www.metacritic.com/movie/the-shawshank-redemption/,https://www.rottentomatoes.com/m/shawshank_redemption,https://en.wikipedia.org/wiki/The_Shawshank_Redemption
896862764,The Godfather,1972,Francis Ford Coppola,9.2,2,100,2,97,2,Marlon Brando,Don Vito Corleone,Al Pacino,Michael,James Caan,Sonny,Richard S. Castellano,Clemenza,Robert Duvall,Tom Hagen,1206236101,Paramount Pictures,1912,United States,Hollywood CA,https://www.imdb.com/title/tt0068646/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520go,https://www.metacritic.com/movie/the-godfather/,https://www.rottentomatoes.com/m/the_godfather,https://en.wikipedia.org/wiki/The_Godfather
1127715346,The Dark Knight,2008,Christopher Nolan,9,3,84,NA,94,NA,Christian Bale,Bruce Wayne / Batman,Heath Ledger,Joker,Aaron Eckhart,Harvey Dent,Michael Caine,Alfred,Gary Oldman,Commissioner Gordon,662884426,Warner Bros.,1923,United States,Burbank CA,https://www.imdb.com/title/tt0468569/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_the%2520dar,https://www.metacritic.com/movie/the-dark-knight/,https://www.rottentomatoes.com/m/the_dark_knight,https://en.wikipedia.org/wiki/The_Dark_Knight
1257495259,The Godfather Part II,1974,Francis Ford Coppola,9,4,90,NA,96,NA,Al Pacino,Michael,Robert Duvall,Tom Hagen,Diane Keaton,Kay,Robert De Niro,Vito Corleone,John Cazale,Fredo Corleone,1206236101,Paramount Pictures,1912,United States,Hollywood CA,https://www.imdb.com/title/tt0071562/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_the%2520god,https://www.metacritic.com/movie/the-godfather-part-ii/,https://www.rottentomatoes.com/m/godfather_part_ii,https://en.wikipedia.org/wiki/The_Godfather_Part_II
1301349790,Schindler's List,1993,Steven Spielberg,9,5,95,NA,98,6,Liam Neeson,Oskar Schindler,Ben Kingsley,Itzhak Stern,Ralph Fiennes,Amon Goeth,Caroline Goodall,Emilie Schindler,Jonathan Sagall,Poldek Pfefferberg,1312266509,Universal Pictures,1912,United States,Universal City CA,https://www.imdb.com/title/tt0108052/?ref_=nv_sr_srsg_0_tt_5_nm_3_in_0_q_schind,https://www.metacritic.com/movie/schindlers-list/,https://www.rottentomatoes.com/m/schindlers_list,https://en.wikipedia.org/wiki/Schindler%27s_List
1793535987,The Lord of the Rings: Return of the King,2003,Peter Jackson,9,6,94,NA,94,NA,Elijah Wood,Frodo,Ian McKellen,Gandalf,Viggo Mortensen,Aragorn,Liv Tyler,Arwen,Sean Astin,Sam,744711240,WingNut Films,1987,New Zealand,Wellington,https://www.imdb.com/title/tt0167260/?ref_=nv_sr_srsg_7_tt_7_nm_1_in_0_q_lord,https://www.metacritic.com/movie/the-lord-of-the-rings-the-return-of-the-king/,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King
806225442,12 Angry Men,1957,Sidney Lumet,9,7,97,NA,100,25,Henry Fonda,Juror 8 'Davis',Lee J. Cobb,Juror 3,Martin Balsam,Juror 1,Ed Begley,Juror 10,E. G. Marshall,Juror 4,855909534,Orion-Nova Productions,NA,NA,NA,https://www.imdb.com/title/tt0050083/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_12%2520angry,https://www.metacritic.com/movie/12-angry-men/,https://www.rottentomatoes.com/m/1000013_12_angry_men,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film)
1645878938,The Lord of the Rings: Fellowship of the Ring,2001,Peter Jackson,8.9,8,92,NA,92,NA,Ian McKellan,Gandalf,Elijah Wood,Frodo,Viggo Mortensen,Aragorn,Orlando Bloom,Legolas,Cate Blanchett,Galadriel,744711240,WingNut Films,1987,New Zealand,Wellington,https://www.imdb.com/title/tt0120737/?ref_=nv_sr_srsg_3_tt_8_nm_0_in_0_q_lord%2520of%2520th,https://www.metacritic.com/movie/the-lord-of-the-rings-the-fellowship-of-the-ring/,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring
283477760,Pulp Fiction,1994,Quentin Tarantino,8.9,9,95,NA,92,NA,John Travolta,Vincent Vega,Samuel L. Jackson,Jules Winnfield,Uma Thurman,Mia Wallace,Ving Rhames,Marsellus Wallace,Harvey Keitel,The Wolf,155556520,A Band Apart,1991,United States,Los Angeles CA,https://www.imdb.com/title/tt0110912/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_pulp%2520fic,https://www.metacritic.com/movie/pulp-fiction/,https://www.rottentomatoes.com/m/pulp_fiction,https://en.wikipedia.org/wiki/Pulp_Fiction
1391240742,Inception,2010,Christopher Nolan,8.8,10,74,NA,87,NA,Leonardo DiCaprio,Dom Cobb,Ken Watanabe,Saito,Joseph Gordon-Levitt,Arthur,Marion Cotillard,Mal,Elliot Page,Ariadne,662884426,Warner Bros.,1923,United States,Burbank CA,https://www.imdb.com/title/tt1375666/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_inception,https://www.metacritic.com/movie/inception/,https://www.rottentomatoes.com/m/inception,https://en.wikipedia.org/wiki/Inception
